State,Product Category,Sales Channel,Month,Year,Quantity Sold,Unit Price,Revenue,Expense,Profit
Uttar Pradesh,Tubes,Distributor,Mar,2020,759.0,559.67,424789.53,316932.86,107856.67
Punjab,Brakes,Retail,Mar,2020,726.0,723.19,525035.94,364529.47,160506.47
Rajasthan,Suspension,Retail,Jan,2020,713.0,948.62,676366.06,482330.86,194035.2000000001
Haryana,Tyres,Retail,Dec,2020,657.0,602.29,395704.53,293352.65,102351.88
Haryana,Batteries,Retail,Jun,2020,879.0,974.6,856673.4,802580.09,54093.31000000006
Rajasthan,Tyres,Distributor,Nov,2020,559.0,726.67,406208.53,344990.75,61217.78000000003
Punjab,Batteries,Online,Sep,2020,662.0,356.36,235910.32,144591.9,91318.42000000001
Haryana,Tubes,Retail,Feb,2020,162.0,978.95,158589.9,117969.15,40620.75
Uttar Pradesh,Batteries,Retail,Jan,2020,904.0,350.78,317105.12,291068.59,26036.52999999997
Punjab,Tubes,Online,Mar,2020,452.0,712.63,322108.76,253121.79,68986.97
Rajasthan,Brakes,Retail,Jan,2020,779.0,987.09,768943.11,526510.22,242432.89
Punjab,Batteries,Distributor,Mar,2020,885.0,172.77,152901.45,111523.12,41378.33000000002
Gujarat,Batteries,Distributor,Jun,2020,450.0,755.39,339925.5,247711.9,92213.6
West Bengal,Tubes,Distributor,Sep,2020,933.0,985.08,919079.64,679740.78,239338.86
Haryana,Tubes,Online,Jan,2020,560.0,181.26,101505.6,90579.12,10926.48000000001
Delhi,Suspension,Online,May,2020,173.0,557.38,96426.74,81339.28,15087.46000000001
Punjab,Tubes,Retail,Feb,2020,820.0,631.8,518076.0,433706.04,84369.96000000002
Maharashtra,Tyres,Online,Aug,2020,452.0,740.03,334493.56,295466.65,39026.90999999997
Tamil Nadu,Tubes,Distributor,Sep,2020,197.0,680.66,134090.02,88637.29,45452.73
Uttar Pradesh,Tyres,Online,Jan,2020,978.0,457.81,447738.18,349778.87,97959.31
Uttar Pradesh,Alloys,Retail,Aug,2020,921.0,223.77,206092.17,148257.19,57834.98000000001
Rajasthan,Alloys,Retail,Jun,2020,522.0,288.16,150419.52,118757.23,31662.28999999999
Delhi,Alloys,Online,Feb,2020,347.0,332.15,115256.05,95777.13,19478.92
Punjab,Brakes,Retail,Oct,2020,395.0,983.95,388660.25,303474.69,85185.56
Punjab,Batteries,Distributor,Oct,2020,930.0,317.67,295433.1,186886.83,108546.27
Tamil Nadu,Batteries,Retail,May,2020,701.0,602.46,422324.46,383860.3,38464.16000000003
Maharashtra,Alloys,Distributor,Feb,2020,58.0,350.98,20356.84,17204.08,3152.759999999998
Delhi,Brakes,Online,Dec,2020,257.0,907.4,233201.8,212325.63,20876.16999999998
Tamil Nadu,Tubes,Online,Apr,2020,169.0,898.99,151929.31,136405.93,15523.38
Karnataka,Alloys,Online,Jun,2020,674.0,245.47,165446.78,151300.08,14146.70000000001
Gujarat,Tyres,Online,Sep,2020,901.0,622.62,560980.62,409683.57,151297.05
Gujarat,Brakes,Online,Sep,2020,522.0,697.15,363912.3,218992.07,144920.23
Punjab,Tyres,Retail,Nov,2020,945.0,374.83,354214.35,272732.59,81481.75999999995
Maharashtra,Alloys,Online,Dec,2020,212.0,686.77,145595.24,98785.53,46809.70999999999
Gujarat,Batteries,Retail,Jun,2020,210.0,116.27,24416.7,18870.76,5545.940000000002
Maharashtra,Batteries,Online,Feb,2020,865.0,771.84,667641.6,552387.64,115253.96
Gujarat,Alloys,Retail,Jun,2020,184.0,748.85,137788.4,97529.56,40258.84
Gujarat,Tubes,Distributor,Feb,2020,737.0,184.31,135836.47,98984.11,36852.36
Gujarat,Alloys,Online,Jun,2020,424.0,325.42,137978.08,111273.08,26704.99999999999
Delhi,Tubes,Online,Aug,2020,279.0,453.79,126607.41,115493.34,11114.07000000001
Rajasthan,Alloys,Distributor,Dec,2020,332.0,490.95,162995.4,117768.65,45226.75
Maharashtra,Suspension,Online,Aug,2020,658.0,619.21,407440.18,314699.13,92741.04999999999
Tamil Nadu,Brakes,Retail,Feb,2020,502.0,307.17,154199.34,119460.96,34738.37999999999
Haryana,Batteries,Distributor,Aug,2020,565.0,121.88,68862.2,56874.34,11987.86
Maharashtra,Brakes,Retail,Mar,2020,66.0,995.1,65676.6,50208.49,15468.11000000001
Punjab,Tubes,Retail,Dec,2020,95.0,923.38,87721.1,63997.41,23723.69
Haryana,Brakes,Retail,Dec,2020,794.0,957.76,760461.44,544309.86,216151.58
Rajasthan,Batteries,Retail,Jan,2020,351.0,969.99,340466.49,319108.0,21358.48999999999
Rajasthan,Alloys,Retail,Feb,2020,165.0,365,60225.0,44252.38,15972.62
Karnataka,Alloys,Distributor,Aug,2020,210.0,385.23,80898.3,53338.07,27560.23
West Bengal,Suspension,Retail,Mar,2020,842.0,455.22,383295.24,343231.15,40064.08999999997
Haryana,Tyres,Retail,Jul,2020,372.0,613.06,228058.32,144591.66,83466.66
Rajasthan,Suspension,Online,Jan,2020,337.0,704.03,237258.11,172137.02,65121.09
Uttar Pradesh,Brakes,Retail,Dec,2020,688.0,566.5,389752.0,353536.47,36215.53000000003
Haryana,Suspension,Online,Feb,2020,834.0,863.8,720409.2,466693.66,253715.54
Rajasthan,Tubes,Online,May,2020,295.0,423.54,124944.3,87805.5,37138.8
West Bengal,Tyres,Online,Dec,2020,808.0,477.8,386062.4,266256.59,119805.81
Karnataka,Batteries,Retail,Aug,2020,457.0,921.92,421317.44,328193.58,93123.85999999999
Haryana,Brakes,Online,May,2020,874.0,665.1,581297.4,388304.27,192993.13
Rajasthan,Suspension,Retail,Jan,2020,825.0,731.77,603710.25,530376.02,73334.22999999998
Karnataka,Batteries,Distributor,Jun,2020,932.0,404.2,376714.4,275549.27,101165.13
Maharashtra,Tyres,Online,Feb,2020,883.0,494.63,436758.29,364784.52,71973.76999999996
Tamil Nadu,Batteries,Distributor,Oct,2020,100.0,519.04,51904.0,41000.3,10903.7
Punjab,Tubes,Online,Jul,2020,174.0,855.04,148776.96,134069.11,14707.85000000001
Uttar Pradesh,Brakes,Online,Nov,2020,354.0,133.61,47297.94,41996.32,5301.620000000003
Delhi,Suspension,Retail,Dec,2020,103.0,583.37,60087.11,42921.9,17165.21
Tamil Nadu,Brakes,Online,Aug,2020,313.0,792.99,248205.87,167672.34,80533.53
Punjab,Batteries,Online,Aug,2020,54.0,511.54,27623.16,24714.66,2908.5
Rajasthan,Tyres,Distributor,Apr,2020,933.0,470.22,438715.26,370639.49,68075.77000000002
Maharashtra,Batteries,Distributor,Dec,2020,985.0,753.48,742177.8,698796.19,43381.6100000001
Haryana,Tyres,Distributor,Jul,2020,685.0,743.14,509050.9,312747.45,196303.45
Karnataka,Tyres,Online,Jan,2020,169.0,343.75,58093.75,43781.77,14311.98
Gujarat,Alloys,Retail,Feb,2020,395.0,122.82,48513.9,45453.98,3059.919999999998
West Bengal,Alloys,Distributor,Nov,2020,840.0,485.48,407803.2,342952.28,64850.91999999998
Maharashtra,Brakes,Distributor,Nov,2020,690.0,255.96,176612.4,115637.49,60974.90999999999
West Bengal,Brakes,Distributor,Oct,2020,851.0,315.81,268754.31,170082.68,98671.63
West Bengal,Brakes,Retail,Feb,2020,650.0,694.18,451217.0,314939.03,136277.97
Rajasthan,Tyres,Online,Mar,2020,321.0,565.03,181374.63,150538.94,30835.69
Delhi,Suspension,Distributor,Aug,2020,630.0,650.55,409846.5,306097.97,103748.53
Gujarat,Tubes,Distributor,Apr,2020,125.0,609.43,76178.75,49937.17,26241.58
Haryana,Suspension,Distributor,Oct,2020,135.0,112.95,15248.25,9768.42,5479.83
Delhi,Suspension,Online,Jul,2020,118.0,184.74,21799.32,15455.6,6343.719999999999
Haryana,Batteries,Distributor,Sep,2020,502.0,526.76,264433.52,167714.83,96718.69000000003
Karnataka,Brakes,Distributor,Jun,2020,481.0,826.22,397411.82,286615.99,110795.83
Haryana,Tubes,Distributor,Jul,2020,303.0,490.47,148612.41,109895.41,38717.0
Gujarat,Brakes,Distributor,Apr,2020,571.0,954.23,544865.33,496011.69,48853.63999999996
Haryana,Brakes,Distributor,Dec,2020,229.0,437.15,100107.35,81993.02,18114.33
Tamil Nadu,Alloys,Retail,Sep,2020,491.0,550.94,270511.54,213374.66,57136.87999999998
Delhi,Suspension,Online,Dec,2020,565.0,654.27,369662.55,343920.01,25742.53999999998
Tamil Nadu,Batteries,Distributor,Jul,2020,307.0,123.86,38025.02,30610.96,7414.059999999998
Haryana,Suspension,Retail,Jul,2020,524.0,820.85,430125.4,360018.8,70106.60000000003
Haryana,Tubes,Retail,Jan,2020,724.0,678.96,491567.04,373781.93,117785.11
Uttar Pradesh,Tubes,Distributor,Sep,2020,740.0,838.58,620549.2,508278.75,112270.45
Gujarat,Suspension,Distributor,Aug,2020,626.0,965.07,604133.82,553913.82,50220.0
Delhi,Alloys,Retail,Dec,2020,605.0,346.57,209674.85,141552.79,68122.06
Gujarat,Alloys,Distributor,Jan,2020,351.0,116.4,40856.4,25864.35,14992.05
Rajasthan,Alloys,Online,Oct,2020,84.0,402.9,33843.6,28073.37,5770.23
Tamil Nadu,Brakes,Online,Jul,2020,654.0,860.39,562695.06,342200.29,220494.7700000001
Tamil Nadu,Suspension,Distributor,Feb,2020,467.0,334.63,156272.21,120894.23,35377.98
Gujarat,Tyres,Retail,Aug,2020,875.0,727.06,636177.5,521748.25,114429.25
Tamil Nadu,Tyres,Retail,Oct,2020,462.0,135.27,62494.74,46638.64,15856.1
Punjab,Batteries,Distributor,Apr,2020,810.0,593.17,480467.7,359493.06,120974.64
Punjab,Brakes,Distributor,Jul,2020,969.0,826.15,800539.35,757852.03,42687.31999999995
Tamil Nadu,Brakes,Online,Sep,2020,597.0,434.82,259587.54,226294.02,33293.52000000002
Maharashtra,Brakes,Retail,Jul,2020,713.0,880.4,627725.2,500079.38,127645.8199999999
Gujarat,Batteries,Distributor,Jul,2020,829.0,486.09,402968.61,347683.28,55285.32999999996
West Bengal,Alloys,Retail,May,2020,266.0,314.41,83633.06,61236.55,22396.50999999999
Tamil Nadu,Tyres,Distributor,Feb,2020,930.0,554.73,515898.9,458768.31,57130.59000000003
Punjab,Alloys,Distributor,Apr,2020,391.0,367.87,143837.17,91335.84,52501.33000000002
Karnataka,Batteries,Distributor,Mar,2020,661.0,109.75,72544.75,66515.1,6029.649999999994
Rajasthan,Suspension,Online,Jan,2020,125.0,419.41,52426.25,49012.27,3413.980000000003
Uttar Pradesh,Tubes,Retail,Jul,2020,784.0,955.55,749151.2,599847.81,149303.3899999999
Delhi,Tubes,Distributor,Feb,2020,416.0,174.96,72783.36,46006.1,26777.26
Rajasthan,Batteries,Online,Apr,2020,445.0,395.8,176131.0,147136.57,28994.42999999999
West Bengal,Suspension,Online,May,2020,533.0,951.58,507192.14,443008.81,64183.33000000002
Karnataka,Batteries,Distributor,Sep,2020,88.0,182.09,16023.92,12387.24,3636.68
Delhi,Suspension,Retail,Feb,2020,984.0,996.34,980398.56,607410.74,372987.8200000001
Tamil Nadu,Brakes,Distributor,Dec,2020,212.0,898.93,190573.16,137750.14,52823.01999999999
Rajasthan,Suspension,Online,Jan,2020,707.0,971.79,687055.53,577683.51,109372.02
Rajasthan,Tyres,Online,Dec,2020,541.0,880.18,476177.38,425449.38,50728.0
Karnataka,Tubes,Online,May,2020,223.0,730.87,162984.01,101941.13,61042.88
Haryana,Tyres,Online,Sep,2020,995.0,902.71,898196.45,585005.85,313190.6
Tamil Nadu,Tubes,Retail,Feb,2020,78.0,176.35,13755.3,13003.21,752.0900000000001
Karnataka,Tyres,Retail,Jun,2020,545.0,876.82,477866.9,433963.35,43903.55000000005
Haryana,Batteries,Distributor,Mar,2020,706.0,952.52,672479.12,635560.27,36918.84999999998
Rajasthan,Brakes,Distributor,May,2020,181.0,415.2,75151.2,63717.95,11433.25
Punjab,Alloys,Online,Nov,2020,836.0,799.43,668323.48,531612.22,136711.26
Gujarat,Alloys,Distributor,Jan,2020,140.0,323.85,45339.0,32444.06,12894.94
Rajasthan,Suspension,Online,Sep,2020,175.0,543.36,95088.0,57430.66,37657.34
Tamil Nadu,Suspension,Retail,May,2020,269.0,614.33,165254.77,142010.17,23244.59999999998
Tamil Nadu,Batteries,Retail,Nov,2020,505.0,205.77,103913.85,85959.99,17953.86
Uttar Pradesh,Batteries,Online,Apr,2020,50.0,712.94,35647.0,24351.44,11295.56
Punjab,Tyres,Online,Jun,2020,554.0,437.38,242308.52,169615.78,72692.73999999999
Karnataka,Alloys,Distributor,Dec,2020,873.0,575.53,502437.69,378193.66,124244.03
Maharashtra,Brakes,Online,Mar,2020,107.0,110.94,11870.58,11151.91,718.6700000000001
Karnataka,Brakes,Online,Jun,2020,878.0,390.42,342788.76,210880.31,131908.45
Maharashtra,Batteries,Retail,Dec,2020,262.0,993.67,260341.54,162929.23,97412.31
Rajasthan,Alloys,Online,Sep,2020,276.0,725.87,200340.12,125493.47,74846.65
Maharashtra,Batteries,Online,Feb,2020,96.0,666.46,63980.16,53968.04,10012.12
Rajasthan,Brakes,Online,May,2020,464.0,996.25,462260.0,390112.2,72147.79999999999
Rajasthan,Tyres,Distributor,Jan,2020,308.0,911.04,280600.32,172823.49,107776.83
Maharashtra,Suspension,Distributor,Feb,2020,61.0,962.83,58732.63,36429.05,22303.57999999999
Delhi,Batteries,Retail,May,2020,407.0,510.09,207606.63,169624.25,37982.38
Uttar Pradesh,Brakes,Retail,Jun,2020,57.0,252.71,14404.47,11903.81,2500.66
Punjab,Tyres,Online,Oct,2020,697.0,418.02,291359.94,234334.87,57025.07000000001
Haryana,Tyres,Distributor,Mar,2020,781.0,424.31,331386.11,228981.99,102404.12
West Bengal,Batteries,Distributor,Jan,2020,972.0,728.35,707956.2,557610.18,150346.0199999999
Rajasthan,Batteries,Distributor,Aug,2020,978.0,470.09,459748.02,372843.53,86904.48999999999
Karnataka,Alloys,Retail,Mar,2020,801.0,246.36,197334.36,181315.65,16018.70999999999
Delhi,Batteries,Online,Aug,2020,302.0,946.48,285836.96,213183.97,72652.99000000002
Uttar Pradesh,Tyres,Retail,Feb,2020,758.0,652.07,494269.06,368915.04,125354.02
Punjab,Alloys,Distributor,Jun,2020,873.0,889,776097.0,615488.19,160608.8100000001
Delhi,Tyres,Retail,Oct,2020,54.0,123.73,6681.42,4889.21,1792.21
Haryana,Brakes,Distributor,Feb,2020,114.0,532.33,60685.62,57338.82,3346.800000000003
Gujarat,Batteries,Distributor,Sep,2020,828.0,634.72,525548.16,385390.67,140157.49
Punjab,Alloys,Online,Dec,2020,903.0,846.25,764163.75,610703.25,153460.5
Gujarat,Alloys,Retail,Mar,2020,978.0,521.82,510339.96,380298.61,130041.35
Karnataka,Batteries,Distributor,Sep,2020,434.0,112.3,48738.2,30528.42,18209.78
Delhi,Tyres,Online,Dec,2020,525.0,831.61,436595.25,414722.35,21872.90000000002
Karnataka,Brakes,Online,Sep,2020,919.0,921.85,847180.15,681812.56,165367.59
Uttar Pradesh,Tubes,Online,Feb,2020,614.0,950.29,583478.06,523599.55,59878.51000000007
Haryana,Brakes,Distributor,Jul,2020,194.0,316.98,61494.12,41309.65,20184.47
Rajasthan,Alloys,Distributor,Sep,2020,50.0,958.65,47932.5,38928.91,9003.589999999997
Haryana,Brakes,Online,Jul,2020,495.0,890.4,440748.0,381224.85,59523.15000000002
Maharashtra,Batteries,Distributor,Nov,2020,83.0,422.35,35055.05,22426.3,12628.75
Maharashtra,Batteries,Distributor,Jun,2020,203.0,548.35,111315.05,85342.33,25972.72
Uttar Pradesh,Alloys,Retail,Sep,2020,820.0,568.15,465883.0,418485.71,47397.28999999998
Haryana,Tyres,Retail,Apr,2020,103.0,971.18,100031.54,63114.19,36917.34999999999
Delhi,Brakes,Distributor,Jun,2020,812.0,463.13,376061.56,243276.23,132785.33
Karnataka,Batteries,Retail,Dec,2020,352.0,478.48,168424.96,147310.18,21114.78
Karnataka,Alloys,Online,Sep,2020,959.0,733.67,703589.53,474597.49,228992.04
Uttar Pradesh,Batteries,Retail,Sep,2020,471.0,655.54,308759.34,291210.06,17549.28000000003
Tamil Nadu,Suspension,Distributor,Dec,2020,355.0,630.93,223980.15,165137.3,58842.85000000001
Uttar Pradesh,Tubes,Distributor,Jan,2020,908.0,181.9,165165.2,141090.55,24074.65000000002
Delhi,Brakes,Online,Sep,2020,298.0,562.59,167651.82,146574.39,21077.42999999999
Haryana,Tubes,Retail,May,2020,591.0,659.88,389989.08,351702.8,38286.28000000003
Maharashtra,Brakes,Retail,May,2020,182.0,816.82,148661.24,113097.22,35564.01999999999
Tamil Nadu,Batteries,Online,Mar,2020,450.0,542.9,244305.0,168664.64,75640.35999999999
Maharashtra,Alloys,Online,Dec,2020,118.0,982.03,115879.54,89507.25,26372.28999999999
Maharashtra,Alloys,Online,Jun,2020,254.0,288.22,73207.88,58776.96,14430.92000000001
Maharashtra,Alloys,Online,Dec,2020,932.0,583.54,543859.28,413899.59,129959.69
Rajasthan,Tubes,Online,Mar,2020,897.0,236.71,212328.87,137714.28,74614.59
Delhi,Alloys,Retail,Aug,2020,569.0,262.06,149112.14,125817.17,23294.97000000002
Rajasthan,Suspension,Retail,Dec,2020,330.0,907.11,299346.3,229265.31,70080.98999999999
Maharashtra,Batteries,Online,Jul,2020,142.0,975.8,138563.6,112330.38,26233.22
Uttar Pradesh,Brakes,Distributor,Jan,2020,100.0,136.78,13678.0,9015.54,4662.459999999999
West Bengal,Tyres,Distributor,Nov,2020,653.0,412.86,269597.58,164759.61,104837.97
Punjab,Suspension,Distributor,Nov,2020,887.0,208.57,185001.59,140836.64,44164.94999999998
Tamil Nadu,Tubes,Online,Jan,2020,395.0,904.8,357396.0,230542.56,126853.44
West Bengal,Brakes,Retail,Mar,2020,779.0,721.36,561939.44,344895.53,217043.9099999999
West Bengal,Tyres,Distributor,Jun,2020,298.0,533.03,158842.94,133543.18,25299.76000000001
Rajasthan,Tyres,Retail,May,2020,105.0,886.22,93053.1,85823.37,7229.73000000001
Karnataka,Alloys,Distributor,Mar,2020,622.0,102.34,63655.48,57538.53,6116.950000000004
Rajasthan,Batteries,Distributor,Feb,2020,57.0,773.43,44085.51,29298.45,14787.06
Punjab,Brakes,Distributor,Oct,2020,768.0,582.93,447690.24,413403.71,34286.52999999997
Delhi,Batteries,Distributor,Aug,2020,575.0,656.43,377447.25,275204.25,102243.0
Rajasthan,Tyres,Distributor,Dec,2020,265.0,748.46,198341.9,123332.86,75009.04
Rajasthan,Brakes,Distributor,May,2020,748.0,327.19,244738.12,207947.21,36790.91
Punjab,Brakes,Retail,Dec,2020,672.0,860,577920.0,498378.37,79541.63
Tamil Nadu,Suspension,Retail,Dec,2020,557.0,196.45,109422.65,82788.56,26634.09
Uttar Pradesh,Tubes,Retail,Mar,2020,788.0,457.45,360470.6,229513.15,130957.45
Punjab,Tyres,Online,Sep,2020,680.0,439.56,298900.8,181440.23,117460.57
Tamil Nadu,Tubes,Online,Sep,2020,322.0,290.3,93476.6,66800.63,26675.97
Tamil Nadu,Alloys,Distributor,Aug,2020,861.0,309.89,266815.29,192113.52,74701.76999999999
Delhi,Brakes,Online,Feb,2020,74.0,711.19,52628.06,46113.23,6514.829999999994
Rajasthan,Alloys,Retail,Aug,2020,158.0,531.62,83995.96,67572.21,16423.75
West Bengal,Suspension,Retail,Aug,2020,519.0,628.16,326015.04,280667.59,45347.44999999995
Delhi,Suspension,Retail,Jan,2020,418.0,608.01,254148.18,186181.44,67966.73999999999
Delhi,Alloys,Retail,Dec,2020,662.0,426.77,282521.74,233383.03,49138.70999999999
West Bengal,Tubes,Online,May,2020,787.0,319.92,251777.04,194972.79,56804.25
West Bengal,Tyres,Retail,May,2020,790.0,940.32,742852.8,447670.6,295182.2000000001
Rajasthan,Tyres,Distributor,Apr,2020,326.0,237.57,77447.82,53135.8,24312.02
West Bengal,Tyres,Online,Jan,2020,565.0,865.74,489143.1,308532.23,180610.87
Haryana,Tubes,Distributor,Jul,2020,399.0,256.04,102159.96,93360.71,8799.25
Tamil Nadu,Tyres,Retail,Mar,2020,808.0,146.47,118347.76,71764.29,46583.47
Uttar Pradesh,Brakes,Retail,Jun,2020,278.0,984.14,273590.92,174883.04,98707.87999999998
Uttar Pradesh,Tyres,Distributor,Feb,2020,371.0,618.4,229426.4,211322.01,18104.38999999998
Maharashtra,Alloys,Online,Feb,2020,896.0,835.36,748482.56,516652.05,231830.5100000001
Rajasthan,Batteries,Online,Jan,2020,553.0,750.61,415087.33,368307.62,46779.71000000002
Uttar Pradesh,Tubes,Online,Dec,2020,243.0,601.09,146064.87,116861.31,29203.56
Maharashtra,Batteries,Retail,Apr,2020,484.0,854.72,413684.48,277903.78,135780.7
Rajasthan,Tyres,Online,Oct,2020,459.0,391.31,179611.29,134511.39,45099.89999999999
Karnataka,Brakes,Distributor,Nov,2020,274.0,762.62,208957.88,164124.71,44833.17000000001
West Bengal,Suspension,Online,Feb,2020,50.0,649.56,32478.0,22767.75,9710.25
West Bengal,Suspension,Online,Feb,2020,854.0,555.49,474388.46,439380.97,35007.49000000005
Haryana,Suspension,Online,Sep,2020,894.0,579.33,517921.02,320146.79,197774.23
Maharashtra,Tubes,Retail,Apr,2020,739.0,508.84,376032.76,297822.12,78210.64000000001
Gujarat,Tubes,Distributor,Nov,2020,699.0,990.96,692681.04,493759.56,198921.48
Tamil Nadu,Tyres,Online,Aug,2020,691.0,179.08,123744.28,80259.14,43485.14
Tamil Nadu,Brakes,Retail,Feb,2020,378.0,784.21,296431.38,239656.93,56774.45000000001
Uttar Pradesh,Suspension,Retail,Oct,2020,969.0,645.49,625479.81,549172.09,76307.72000000009
Karnataka,Suspension,Online,Feb,2020,144.0,936.58,134867.52,120128.76,14738.75999999999
Uttar Pradesh,Suspension,Retail,Apr,2020,285.0,467.67,133285.95,123493.21,9792.740000000005
Gujarat,Suspension,Retail,Nov,2020,508.0,944.51,479811.08,318321.82,161489.26
West Bengal,Brakes,Retail,Jun,2020,596.0,933.8,556544.8,474487.16,82057.64000000007
Karnataka,Brakes,Retail,Aug,2020,621.0,857.65,532600.65,345615.39,186985.26
Delhi,Suspension,Distributor,Jan,2020,922.0,775.45,714964.9,629053.28,85911.62
Punjab,Tyres,Online,Jan,2020,340.0,247.84,84265.6,74583.58,9682.020000000004
Haryana,Batteries,Online,Oct,2020,428.0,670.38,286922.64,263324.16,23598.48000000004
Tamil Nadu,Brakes,Online,Jun,2020,650.0,889.48,578162.0,426311.1,151850.9
Gujarat,Suspension,Distributor,Aug,2020,345.0,506.75,174828.75,148573.64,26255.10999999999
Punjab,Tubes,Retail,Sep,2020,849.0,516.41,438432.09,309306.06,129126.03
West Bengal,Tubes,Distributor,Feb,2020,72.0,494.87,35630.64,28580.06,7050.579999999998
Maharashtra,Brakes,Online,Sep,2020,194.0,909.62,176466.28,129590.12,46876.16
Delhi,Tubes,Retail,Aug,2020,870.0,915.82,796763.4,652137.54,144625.86
